#multiword-expression	sentiment-view	polarity
act_the_part	SPEAKER	NEUTRAL
add_fuel_to_the_fire	SPEAKER	NEGATIVE
add_insult_to_injury	SPEAKER	NEGATIVE
add_value	SPEAKER	POSITIVE
arrive_at_the_conclusion	ACTOR	POSITIVE
ask_for_trouble	SPEAKER	NEGATIVE
ask_the_question	ACTOR	NEGATIVE
attract_attention	ACTOR	NEUTRAL
avoid_like_the_plague	ACTOR	NEGATIVE
bare_one's_breast	ACTOR	NEUTRAL
bare_one's_soul	ACTOR	NEUTRAL
bat_a_thousand	SPEAKER	POSITIVE
be_a_man	SPEAKER	NEGATIVE
be_a_thing	SPEAKER	NEUTRAL
be_cut_from_the_same_cloth	SPEAKER	NEUTRAL
be_mother	SPEAKER	POSITIVE
be_my_guest	SPEAKER	POSITIVE
be_on_the_same_page	ACTOR	POSITIVE
be_on_top_of_things	SPEAKER	POSITIVE
be_the_case	SPEAKER	NEUTRAL
be_the_way_to_go	SPEAKER	POSITIVE
be_up_to_par	SPEAKER	POSITIVE
be_up_to_snuff	SPEAKER	POSITIVE
bear_false_witness	SPEAKER	NEGATIVE
bear_fruit	SPEAKER	POSITIVE
bear_in_mind	ACTOR	POSITIVE
bear_the_brunt	ACTOR	NEGATIVE
bear_witness	SPEAKER	NEUTRAL
bear_witness_to	SPEAKER	NEUTRAL
beat_a_dead_horse	SPEAKER	NEGATIVE
beat_about_the_bush	SPEAKER	NEGATIVE
beat_around_the_bush	SPEAKER	NEGATIVE
beat_one's_brain	ACTOR	NEGATIVE
beat_the_crap_out_of	SPEAKER	NEGATIVE
beat_the_daylight_out_of	SPEAKER	NEGATIVE
beat_the_daylights_out_of	SPEAKER	NEGATIVE
beat_the_pants_off	ACTOR	NEGATIVE
beat_the_piss_out_of	SPEAKER	NEGATIVE
beat_the_shit_out_of	SPEAKER	NEGATIVE
beat_the_snot_out_of	SPEAKER	NEGATIVE
beat_the_stuffing_out_of	SPEAKER	NEGATIVE
beat_the_tar_out_of	SPEAKER	NEGATIVE
beg_the_question	SPEAKER	NEGATIVE
belly_up_to_the_bar	ACTOR	POSITIVE
bend_the_truth	SPEAKER	NEGATIVE
bide_one's_time	ACTOR	POSITIVE
bite_off_more_than_one_can_chew	SPEAKER	NEGATIVE
bite_one's_lip	SPEAKER	NEGATIVE
bite_one's_tongue	ACTOR	NEGATIVE
bite_the_bullet	SPEAKER	NEGATIVE
